URL_ID,URL,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,Avg_Sentence_Length,Percentage_Complex_Words,Fog_Index,AVG NUMBER OF WORDS PER SENTENCE,Complex_Word_Count,Word_Count,Syllable_Per_Word,Personal_Pronouns,Avg_Word_Length
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,0.9999998,0.04950495,16.83333333,0.504950495,6.935313531,16.83333333,51,101,2.603960396,1,7.148514851
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,7,0.176470578,0.046961326,10.05555556,0.430939227,4.194597913,10.05555556,156,362,2.480662983,7,6.720994475
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.666666611,0.09090909,16.5,0.46969697,6.787878788,16.5,62,132,2.5,1,6.78030303
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,22,10,0.374999988,0.090909091,13.03703704,0.636363636,5.469360269,13.03703704,224,352,2.926136364,4,7.838068182
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,2,0,0.9999995,0.020618556,10.77777778,0.443298969,4.488430699,10.77777778,43,97,2.701030928,1,7.113402062
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,0.9999998,0.04950495,16.83333333,0.504950495,6.935313531,16.83333333,51,101,2.603960396,1,7.148514851
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,7,0.176470578,0.046961326,10.05555556,0.430939227,4.194597913,10.05555556,156,362,2.480662983,7,6.720994475
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.666666611,0.09090909,16.5,0.46969697,6.787878788,16.5,62,132,2.5,1,6.78030303
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,22,10,0.374999988,0.090909091,13.03703704,0.636363636,5.469360269,13.03703704,224,352,2.926136364,4,7.838068182
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,21,0.454545449,0.07368421,10.45,0.640191388,4.436076555,10.45,669,1045,3.044976077,1,7.756937799
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,17,6,0.478260849,0.087121212,12,0.640151515,5.056060606,12,169,264,3.03030303,1,7.772727273
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,26,2,0.857142827,0.07486631,14.38461538,0.652406417,6.014808721,14.38461538,244,374,3.061497326,6,7.959893048
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,20,4,0.666666639,0.109589041,12.16666667,0.589041096,5.102283105,12.16666667,129,219,2.922374429,4,7.858447489
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,12,4,0.499999969,0.071748879,14.86666667,0.623318386,6.195994021,14.86666667,139,223,3.040358744,5,7.946188341
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,59,24,0.421686742,0.102850062,12.22727273,0.547707559,5.109992114,12.22727273,442,807,2.812887237,10,7.579925651
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,7,1,0.749999906,0.049079754,11.64285714,0.484662577,4.851007888,11.64285714,79,163,2.668711656,1,7.159509202
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,40,6,0.739130419,0.095041322,13.44444444,0.623966942,5.627364555,13.44444444,302,484,3.053719008,15,7.915289256
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,5,3,0.249999969,0.076923076,10.4,0.471153846,4.348461538,10.4,49,104,2.663461538,3,7.211538462
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,13,4,0.529411734,0.089005235,13.64285714,0.54973822,5.677038145,13.64285714,105,191,2.816753927,3,7.439790576
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,19,6,0.519999979,0.121951219,12.8125,0.546341463,5.343536585,12.8125,112,205,2.736585366,2,7.107317073
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,8,1,0.777777691,0.059602649,12.58333333,0.496688742,5.23200883,12.58333333,75,151,2.682119205,2,6.794701987
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,9,2,0.636363579,0.066666666,13.75,0.557575758,5.723030303,13.75,92,165,2.842424242,2,7.509090909
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,10,2,0.666666611,0.076433121,13.08333333,0.496815287,5.432059448,13.08333333,78,157,2.662420382,2,7.159235669
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,14,1,0.866666609,0.099337748,12.58333333,0.622516556,5.282339956,12.58333333,94,151,2.993377483,2,7.635761589
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,15,2,0.764705837,0.11038961,12.83333333,0.597402597,5.372294372,12.83333333,92,154,2.896103896,2,7.616883117
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,12,8,0.19999999,0.120481927,13.83333333,0.554216867,5.75502008,13.83333333,92,166,2.765060241,2,7.240963855
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,9,0,0.999999889,0.05732484,13.08333333,0.541401274,5.449893843,13.08333333,85,157,2.732484076,2,7.579617834
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,17,2,0.789473643,0.070110701,16.9375,0.505535055,6.977214022,16.9375,137,271,2.656826568,1,7.287822878
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,12,4,0.499999969,0.072727272,12.22222222,0.472727273,5.077979798,12.22222222,104,220,2.640909091,4,7.213636364
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,21,7,0.499999982,0.082111437,11,0.560117302,4.624046921,11,191,341,2.791788856,1,7.187683284
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,8,5,0.230769213,0.057268722,11.35,0.49339207,4.737356828,11.35,112,227,2.599118943,2,7.022026432
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,46,13,0.559322024,0.132286995,14.38709677,0.585201794,5.988919427,14.38709677,261,446,3.015695067,5,7.912556054
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,16,4,0.59999997,0.050632911,13.16666667,0.430379747,5.438818565,13.16666667,170,395,2.465822785,1,6.627848101
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,19,6,0.519999979,0.117370891,12.52941176,0.582159624,5.244628556,12.52941176,124,213,2.784037559,1,7.629107981
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,29,25,0.074074073,0.062645012,8.20952381,0.494199536,3.481489338,8.20952381,426,862,2.738979118,1,7.365429234
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,14,19,-0.151515147,0.071895425,8.345454545,0.470588235,3.526417112,8.345454545,216,459,2.660130719,2,7.030501089
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,17,6,0.478260849,0.048832272,8.263157895,0.61358811,3.550698402,8.263157895,289,471,2.987261146,6,7.823779193
Netclan20241054,https://insights.blackcoffer.com/ai-chatbot-using-llm-langchain-llama/,11,1,0.833333264,0.061224489,14,0.505102041,5.802040816,14,99,196,2.739795918,1,7.132653061
Netclan20241055,https://insights.blackcoffer.com/healthcare-ai-chatbot-using-llama-llm-langchain/,43,3,0.869565198,0.105747126,5.178571429,0.422988506,2.240623974,5.178571429,184,435,2.450574713,30,6.386206897
Netclan20241056,https://insights.blackcoffer.com/ai-bot-audio-to-audio/,0,0,0,0,26,0.307692308,10.52307692,26,8,26,2.346153846,0,6.423076923
Netclan20241057,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,8,2,0.59999994,0.056497175,19.66666667,0.463276836,8.051977401,19.66666667,82,177,2.576271186,2,7.079096045
Netclan20241058,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,9,1,0.79999992,0.085470085,10.63636364,0.401709402,4.415229215,10.63636364,47,117,2.358974359,4,6.264957265
Netclan20241059,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,4,1,0.59999988,0.034482758,13.18181818,0.462068966,5.457554859,13.18181818,67,145,2.420689655,9,6.586206897
Netclan20241060,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,11,4,0.466666636,0.09090909,7.173913043,0.363636364,3.015019763,7.173913043,60,165,2.218181818,16,6.115151515
Netclan20241061,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,15,8,0.304347813,0.128491619,6.884615385,0.407821229,2.916974645,6.884615385,73,179,2.184357542,6,6.212290503
Netclan20241062,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,4,4,0,0.04040404,9,0.484848485,3.793939394,9,96,198,2.580808081,5,6.797979798
Netclan20241063,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,4,2,0.333333278,0.045112782,14.77777778,0.488721805,6.106599833,14.77777778,65,133,2.466165414,1,6.563909774
Netclan20241064,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,3,1,0.499999875,0.064516128,31,0.419354839,12.56774194,31,26,62,2.290322581,1,6.693548387
Netclan20241065,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,4,3,0.142857122,0.134615382,10.4,0.403846154,4.321538462,10.4,21,52,2.346153846,2,6.961538462
Netclan20241066,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,4,1,0.59999988,0.079365078,15.75,0.492063492,6.496825397,15.75,31,63,2.507936508,1,6.80952381
Netclan20241067,https://insights.blackcoffer.com/ai-and-nlp-based-solutions-to-automate-data-discovery-for-venture-capital-and-private-equity-principals/,6,2,0.499999938,0.06722689,14.875,0.495798319,6.148319328,14.875,59,119,2.453781513,1,7.033613445
Netclan20241068,https://insights.blackcoffer.com/an-etl-solution-for-an-internet-publishing-firm/,11,1,0.833333264,0.073619631,11.64285714,0.325153374,4.787204207,11.64285714,53,163,2.147239264,10,6.085889571
Netclan20241069,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/,3,2,0.19999996,0.070422534,11.83333333,0.394366197,4.891079812,11.83333333,28,71,2.352112676,1,6.647887324
Netclan20241070,https://insights.blackcoffer.com/equity-waterfalls-model-based-saas-application-for-real-estate-sector/,3,4,-0.142857122,0.041666666,8.4,0.494047619,3.557619048,8.4,83,168,2.55952381,8,6.773809524
Netclan20241071,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,8,3,0.454545413,0.057894737,14.61538462,0.389473684,6.00194332,14.61538462,74,190,2.431578947,4,6.905263158
Netclan20241072,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,10,8,0.111111105,0.162162161,15.85714286,0.513513514,6.548262548,15.85714286,57,111,2.684684685,3,6.972972973
Netclan20241073,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,11,4,0.466666636,0.088235294,12.14285714,0.458823529,5.040672269,12.14285714,78,170,2.505882353,12,6.841176471
Netclan20241074,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,10,5,0.333333311,0.077720207,8.772727273,0.450777202,3.68940179,8.772727273,87,193,2.647668394,9,6.637305699
Netclan20241075,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,4,5,-0.111111099,0.107142856,8.4,0.535714286,3.574285714,8.4,45,84,2.630952381,1,6.928571429
Netclan20241076,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,3,1,0.499999875,0.075471697,10.6,0.433962264,4.413584906,10.6,23,53,2.377358491,2,6.641509434
Netclan20241077,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,3,3,0,0.096774192,12.4,0.467741935,5.147096774,12.4,29,62,2.532258065,1,7.064516129
Netclan20241078,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,5,4,0.111111099,0.130434781,9.857142857,0.47826087,4.134161491,9.857142857,33,69,2.550724638,3,7.130434783
Netclan20241079,https://insights.blackcoffer.com/handgun-detection-using-yolo/,4,1,0.59999988,0.081967212,12.2,0.540983607,5.096393443,12.2,33,61,2.655737705,2,7.098360656
Netclan20241080,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,4,8,-0.333333306,0.133333332,9,0.588888889,3.835555556,9,53,90,2.744444444,4,7.233333333
Netclan20241081,https://insights.blackcoffer.com/car-detection-in-satellite-images/,11,2,0.692307639,0.08227848,9.294117647,0.449367089,3.897393894,9.294117647,71,158,2.449367089,8,6.651898734
Netclan20241082,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,10,4,0.428571398,0.075675675,9.736842105,0.518918919,4.10230441,9.736842105,96,185,2.67027027,12,7.227027027
Netclan20241083,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,6,5,0.090909083,0.053921568,12,0.495098039,4.998039216,12,101,204,2.514705882,10,6.431372549
Netclan20241084,https://insights.blackcoffer.com/data-transformation/,20,13,0.212121206,0.134146341,10.25,0.333333333,4.233333333,10.25,82,246,2.276422764,11,6.296747967
